,Location,Wine Ratings,Lat,Lng, Soil Temperature (C) at 10 cm depth, Soil Moisture
159,"Pine Mountain-Cloverdale Peak,California",90.77777777777777,38.854586,-122.96574,7.26,0.246
27,"Cayuga Lake,New York",86.23333333333333,42.6776693,-76.6990172,0.37,0.224
187,"Santa Barbara,California",88.625,34.4208305,-119.6981901,10.95,0.18
183,"San Luis Obispo,California",85.0,35.2827524,-120.6596156,10.02,0.213
219,"St. Helena,California",89.8525641025641,38.5052429,-122.4703868,8.26,0.217
0,"Adelaida District,California",90.7,35.645397,-120.874138,10.38,0.255
211,"Sonoma-Napa,California",91.25641025641026,38.291859,-122.4580356,9.15,0.234
120,"Mt. Harlan,California",90.85897435897436,36.6974604,-121.405214,8.52,0.146
113,"Monterey-Santa Barbara,California",88.75,34.4217436,-119.7267751,10.95,0.18
9,"Applegate Valley,Oregon",86.87096774193549,42.2570662,-123.1683833,4.61,0.204
99,"McMinnville,Oregon",89.3859649122807,45.21011619999999,-123.1987163,7.24,0.167
123,"Napa County-Sonoma County,California",88.28571428571429,38.2137007,-122.2539945,10.26,0.226
227,"Templeton Gap District,California",88.25,35.5496939,-120.7060049,10.07,0.21
143,"North Coast,California",87.1474358974359,38.01925230000001,-122.8631254,9.92,0.579
213,"Sonoma-Napa-Mendocino,California",86.75,38.291859,-122.4580356,9.15,0.234
72,"Howell Mountain,California",91.17361111111111,38.58139,-122.45,8.26,0.217
2,"Alexander Valley,California",88.16091954022988,38.6129647,-122.7694345,8.45,0.225
151,"Old Mission Peninsula,Michigan",83.5,44.8839492,-85.50972259999999,2.11,0.167
100,"Mendocino County,California",87.51322751322752,39.5500194,-123.438353,6.15,0.238
222,"Stanislaus County,California",83.0,37.5090711,-120.9876321,11.73,0.233
33,"Chelan County,Washington",86.64285714285714,47.9445331,-120.6749068,0.15,0.233
93,"Madera,California",85.7,36.9613356,-120.0607176,11.64,0.115
41,"Colorado,Colorado",83.5,39.5500507,-105.7820674,-6.09,0.066
43,"Columbia Gorge (WA),Washington",89.76923076923077,47.4537758,-120.3251007,3.0,0.19
174,"Saddle Rock-Malibu,California",84.33333333333333,34.0990408,-118.8207158,12.02,0.077
172,"Russian River Valley,California",89.40228136882129,38.9119799,-123.0537083,6.69,0.212
201,"Sonoma Coast,California",90.34985133795837,38.4052701,-123.096764,9.65,0.338
45,"Columbia Valley (WA),Washington",88.80575789108568,47.4537758,-120.3251007,3.0,0.19
192,"Santa Lucia Highlands,California",89.30681818181819,36.4307709,-121.4203754,8.44,0.133
52,"Dundee Hills,Oregon",90.15320334261838,45.2721648,-123.0163892,7.99,0.151
132,"Napa-Mendocino-Sonoma-Marin,California",89.72727272727273,38.2949874,-122.4760013,9.15,0.234
188,"Santa Barbara-Monterey,California",88.0,34.4375441,-119.7442934,10.95,0.18
62,"Finger Lakes,New York",86.62237762237763,42.7238165,-76.9297247,1.45,0.214
241,"Willamette Valley,Oregon",88.84347231715653,44.942554,-122.9337615,7.88,0.177
214,"Sonoma-Santa Barbara-Mendocino,California",85.0,34.4208305,-119.6981901,10.95,0.18
144,"North Fork of Long Island,New York",86.00479616306954,40.9445753,-72.626999,5.48,0.112
84,"Lake County-Sonoma County,California",86.66666666666667,38.4500466,-122.6496719,8.89,0.226
218,"Spring Mountain District,California",89.66666666666667,38.5228143,-122.5492726,8.26,0.217
14,"Augusta,Missouri",85.53846153846153,38.5725523,-90.882081,12.07,0.302
161,"Polk County,Oregon",90.0,44.9266528,-123.4919256,6.65,0.193
16,"Ben Lomond Mountain,California",86.72222222222223,37.1310577,-122.1680218,9.87,0.199
44,"Columbia Valley (OR),Oregon",87.71666666666667,47.4537758,-120.3251007,3.0,0.19
4,"Amador County,California",86.8391167192429,38.3488921,-120.7740931,7.74,0.177
221,"Stags Leap District,California",91.11111111111111,38.4141825,-122.3213126,8.91,0.209
176,"San Benito County,California",88.62745098039215,36.5760883,-120.9876321,8.65,0.163
29,"Central Valley,California",89.0,40.19987769999999,-122.2011075,8.24,0.216
15,"Ballard Canyon,California",90.9090909090909,34.6354195,-120.1479918,10.56,0.173
225,"Temecula Valley,California",86.49152542372882,33.505174,-117.1442605,12.02,0.084
112,"Monterey,California",86.45588235294117,36.6002378,-121.8946761,9.66,0.366
46,"Columbia Valley-Walla Walla Valley,Washington",87.0,46.1721497,-118.2026998,6.54,0.272
17,"Bennett Valley,California",89.64285714285714,38.4023607,-122.6404809,8.89,0.226
207,"Sonoma County-Santa Barbara County,California",85.2,38.5779555,-122.9888319,8.89,0.347
184,"San Luis Obispo-Sonoma-Monterey,California",90.0,35.2810211,-120.6630823,10.02,0.213
36,"Clarksburg,California",85.52542372881356,38.4198403,-121.5294026,11.16,0.252
149,"Ohio River Valley,Ohio",87.0,38.8686397,-84.7821027,6.42,0.278
22,"Calistoga,California",89.1,38.5787965,-122.5797054,8.26,0.217
234,"Virginia's Eastern Shore,Virginia",84.5,37.132334,-75.96601179999999,7.84,0.195
175,"San Antonio Valley,California",86.66666666666667,37.3435478,-121.4529949,8.12,0.157
95,"Malibu-Newton Canyon,California",85.5,34.081344,-118.801665,13.82,0.462
177,"San Bernabe,California",90.0,36.1475072,-121.1006615,8.47,0.17
162,"Potter Valley,California",86.86363636363636,39.3221089,-123.113059,5.51,0.231
199,"Snipes Mountain,Washington",89.48387096774194,46.31151939999999,-120.0894904,8.05,0.168
228,"Texas,Texas",85.1470588235294,29.383845,-94.9027002,21.25,0.34
101,"Mendocino Ridge,California",88.64473684210526,39.33667,-123.3,5.91,0.251
111,"Monterey County-Napa County-Sonoma County,California",83.0,36.3136201,-121.3541631,8.74,0.159
71,"Horse Heaven Hills,Washington",88.79906542056075,46.13318779999999,-119.8678139,8.38,0.158
194,"Santa Ynez Valley,California",87.87358184764992,34.5841542,-120.0973685,9.65,0.185
166,"Red Hills Lake County,California",87.8030303030303,38.9150861,-122.7548455,6.87,0.208
137,"Nevada County,California",87.0,39.1346666,-121.1710389,7.9,0.205
70,"High Valley,California",85.56756756756756,39.0528068,-122.6947124,6.48,0.198
157,"Paso Robles,California",86.46348448687351,35.6368759,-120.6545022,9.74,0.213
118,"Mount Harlan,California",87.33333333333333,36.6974604,-121.405214,8.52,0.146
28,"Central Coast,California",85.9454926624738,35.6368759,-120.6545022,9.74,0.213
245,"Yamhill-Carlton District,Oregon",89.6236559139785,45.2942902,-123.1796697,7.53,0.173
246,"Yolo County,California",86.41176470588235,38.7646021,-121.9017954,10.67,0.245
242,"Yadkin Valley,North Carolina",83.0,36.2023597,-80.6770787,9.53,0.212
50,"Diamond Mountain District,California",91.0,38.54334530000001,-122.578433,8.26,0.217
131,"Napa-Mendocino-Sonoma,California",87.14285714285714,38.2949874,-122.4760013,9.15,0.234
134,"Napa-Sonoma-Lake,California",91.0,38.5477595,-122.5106037,8.26,0.217
90,"Lodi,California",85.51478260869565,38.1341477,-121.2722194,11.65,0.228
179,"San Francisco Bay,California",86.5,37.6909682,-122.3107517,9.78,0.16
200,"Solano County,California",87.0,38.3104969,-121.9017954,11.18,0.255
65,"Grand Valley,Colorado",84.66666666666667,39.0638705,-108.5506486,1.92,0.212
18,"Calaveras County,California",88.52702702702703,38.1960477,-120.6805037,7.79,0.178
163,"Puget Sound,Washington",86.16666666666667,47.7236535,-122.4713352,9.07,0.105
138,"Nevada,Nevada",84.0,38.8026097,-116.419389,1.04,0.115
126,"Napa Valley,California",89.1974921630094,38.5024689,-122.2653887,8.19,0.207
69,"Happy Canyon of Santa Barbara,California",88.44642857142857,34.4206415,-119.6994278,10.95,0.18
66,"Green Valley,California",90.69897959183673,34.6216542,-118.4139702,8.01,0.076
57,"El Pomar District,California",91.0,35.5551416,-120.6125891,9.74,0.213
89,"Livermore Valley,California",87.39274924471299,37.6704091,-121.6978901,8.27,0.182
10,"Arizona,Arizona",84.63636363636364,34.0489281,-111.0937311,10.8,0.055
185,"San Pasqual,California",84.0,33.0831683,-116.9911288,13.24,0.139
135,"Napa-Sonoma-Marin,California",91.0,38.291859,-122.4580356,9.15,0.234
238,"Walla Walla Valley (WA),Washington",90.14266666666667,46.0690178,-118.3397506,7.58,0.274
122,"Napa County,California",86.41176470588235,38.5024689,-122.2653887,8.19,0.207
139,"New Jersey,New Jersey",84.77777777777777,40.0583238,-74.4056612,7.43,0.091
98,"McDowell Valley,California",87.0,38.97656480000001,-123.0619456,6.69,0.212
196,"Shenandoah Valley (CA),California",86.02298850574712,38.5348836,-120.792458,7.25,0.176
208,"Sonoma Mountain,California",90.15178571428571,38.3229698,-122.5749837,9.15,0.234
239,"Washington,Washington",88.2508591065292,47.7510741,-120.7401385,1.22,0.203
154,"Outer Coastal Plain,New Jersey",80.0,40.0583238,-74.4056612,7.43,0.091
121,"Naches Heights,Washington",85.75,46.6536279,-120.6541983,7.01,0.163
3,"Alta Mesa,California",87.18181818181819,37.398829,-122.1346859,8.89,0.163
212,"Sonoma-Napa-Lake,California",87.0,38.6530137,-122.8728492,7.64,0.224
130,"Napa-Carneros,California",88.25,38.2554723,-122.3349422,9.45,0.215
249,"Yountville,California",88.41791044776119,38.40157809999999,-122.3608105,8.91,0.209
30,"Chalk Hill,California",89.3076923076923,38.6037982,-122.7772125,8.45,0.225
142,"North Carolina,North Carolina",84.16666666666667,35.7595731,-79.01929969999999,11.39,0.116
116,"Monticello,Virginia",86.49056603773585,38.0086043,-78.4531994,7.97,0.151
55,"El Dorado County,California",86.95,38.74263759999999,-120.4357631,2.04,0.219
125,"Napa County-Sonoma County-San Joaquin County,California",87.33333333333333,38.2172561,-122.2730219,9.45,0.215
108,"Missouri,Missouri",82.93548387096774,39.2408369,-94.2880031,12.15,0.168
61,"Fiddletown,California",87.87096774193549,38.5039105,-120.7565689,7.25,0.176
223,"Suisun Valley,California",85.6896551724138,38.2688028,-122.1096906,10.26,0.226
152,"Oregon Other,Oregon",88.0,45.5098397,-122.7159532,9.3,0.143
224,"Swan Creek,North Carolina",84.25,36.1784676,-80.8689607,9.0,0.197
74,"Humboldt County,California",89.875,40.7450055,-123.8695086,6.16,0.203
141,"New York,New York",85.76470588235294,36.1023715,-115.1745559,10.61,0.06
68,"Hames Valley,California",88.0,35.8744105,-120.8346229,9.07,0.172
230,"Trinity County,California",82.875,40.6329485,-123.0622553,3.19,0.206
205,"Sonoma County-Napa County,California",87.16666666666667,38.2137007,-122.2539945,10.26,0.226
133,"Napa-Sonoma,California",89.10526315789474,38.291859,-122.4580356,9.15,0.234
210,"Sonoma,California",83.0,38.291859,-122.4580356,9.15,0.234
206,"Sonoma County-San Joaquin County,California",91.0,37.9175935,-121.1710389,11.96,0.201
171,"Rogue Valley,Oregon",86.0,42.4401246,-122.9261546,4.64,0.193
178,"San Diego County,California",85.0,32.7157305,-117.1610966,15.44,0.349
60,"Fair Play,California",87.3076923076923,38.5935173,-120.6604855,5.15,0.199
226,"Temecula,California",84.09375,33.4936391,-117.1483648,12.38,0.089
182,"San Luis Obispo County,California",87.53932584269663,35.3102296,-120.4357631,9.45,0.2
56,"El Dorado,California",86.49753694581281,38.74263759999999,-120.4357631,2.04,0.219
240,"Western Connecticut Highlands,Connecticut",83.5,41.4007198,-73.4449401,5.41,0.107
128,"Napa,California",90.6896551724138,38.2975381,-122.286865,9.45,0.215
67,"Guenoc Valley,California",87.57692307692308,38.7359634,-122.5283555,7.88,0.216
1,"Albemarle County,Virginia",86.0,38.0567092,-78.6114999,7.36,0.158
165,"Rattlesnake Hills,Washington",87.81395348837209,46.518972,-120.3099434,8.09,0.154
115,"Monterey-Santa Cruz,California",86.0,36.9741171,-122.0307963,9.75,0.294
216,"Southeastern New England,Massachusetts",84.16666666666667,42.4419817,-71.6886636,4.68,0.106
82,"Lake County,California",87.33879781420765,39.08396440000001,-122.8084496,6.1,0.2
215,"South Coast,California",86.77777777777777,33.1311023,-117.2425223,14.35,0.264
150,"Ohio,Ohio",82.35714285714286,40.4172871,-82.90712300000001,4.64,0.145
153,"Oregon,Oregon",88.05960264900662,43.8041334,-120.5542012,-1.86,0.348
191,"Santa Cruz Mountains,California",88.54871794871795,37.1108921,-121.8448906,8.81,0.173
48,"Coombsville,California",90.4,38.2971707,-122.2864459,9.45,0.215
47,"Contra Costa County,California",85.73076923076923,37.8534093,-121.9017954,9.03,0.203
247,"York Mountain,California",87.82352941176471,35.5414316,-120.8148141,10.07,0.21
231,"Umpqua Valley,Oregon",87.67816091954023,43.2113549,-123.3464928,5.99,0.193
232,"Ventura County,California",88.0,34.3704884,-119.1390642,10.09,0.114
195,"Seneca Lake,New York",87.63636363636364,42.6918497,-76.92019200000001,1.45,0.214
169,"Ribbon Ridge,Oregon",90.46969696969697,45.3542829,-123.0739933,8.11,0.152
