,Location,Wine Ratings,Lat,Lng,Soil Temperature (C) at 10 cm depth,Soil Moisture
80,"Knights Valley,California",89.12605042016807,38.6351857,-122.6941543,7.49,0.299
81,"Lake Chelan,Washington",86.80645161290323,48.0269741,-120.3377317,0.23,0.225
82,"Lake County,California",87.33879781420765,39.08396440000001,-122.8084496,5.95,0.307
83,"Lake County-Mendocino County,California",88.0,39.2173837,-123.171699,6.64,0.341
84,"Lake County-Sonoma County,California",86.66666666666667,38.4500466,-122.6496719,8.35,0.298
86,"Lake Michigan Shore,Michigan",82.0,42.2208698,-86.369469,1.87,0.183
88,"Lime Kiln Valley,California",87.0,39.112339,-121.0807196,8.47,0.323
89,"Livermore Valley,California",87.39274924471299,37.6704091,-121.6978901,9.94,0.3
90,"Lodi,California",85.51478260869565,38.1341477,-121.2722194,12.23,0.27
91,"Long Island,New York",86.40350877192982,40.789142,-73.13496099999999,4.66,0.139
92,"Los Carneros,California",87.71428571428571,34.4352471,-119.8537364,9.56,0.205
93,"Madera,California",85.7,36.9613356,-120.0607176,10.89,0.109
94,"Malibu Coast,California",92.0,34.0259216,-118.7797571,12.5,0.456
95,"Malibu-Newton Canyon,California",85.5,34.081344,-118.801665,12.5,0.456
96,"Marin County,California",89.6842105263158,38.083403,-122.7633036,9.23,0.308
97,"Massachusetts,Massachusetts",89.0,42.4072107,-71.3824374,1.98,0.119
98,"McDowell Valley,California",87.0,38.97656480000001,-123.0619456,6.77,0.31
99,"McMinnville,Oregon",89.3859649122807,45.21011619999999,-123.1987163,5.65,0.278
100,"Mendocino County,California",87.51322751322752,39.5500194,-123.438353,6.46,0.32
101,"Mendocino Ridge,California",88.64473684210526,39.33667,-123.3,6.19,0.333
102,"Mendocino,California",87.65602836879432,39.3076744,-123.7994591,8.58,0.402
103,"Mendocino-Lake County-Napa,California",82.0,38.4627996,-122.7287057,8.35,0.298
104,"Mendocino-Lake,California",87.5,39.2173837,-123.171699,6.64,0.341
105,"Mendocino-Solano,California",89.0,38.463665,-122.718965,8.35,0.298
106,"Michigan,Michigan",85.0,44.3148443,-85.60236429999999,-4.46,0.255
107,"Middleburg,Virginia",87.0,38.9687211,-77.7355496,6.78,0.204
108,"Missouri,Missouri",82.93548387096774,39.2408369,-94.2880031,8.34,0.179
109,"Mokelumne River,California",90.0,38.1097595,-121.5749849,10.99,0.394
110,"Monterey County,California",86.05970149253731,36.3136201,-121.3541631,8.29,0.156
111,"Monterey County-Napa County-Sonoma County,California",83.0,36.3136201,-121.3541631,8.29,0.156
112,"Monterey,California",86.45588235294117,36.6002378,-121.8946761,10.41,0.374
113,"Monterey-Santa Barbara,California",88.75,34.4217436,-119.7267751,9.52,0.196
114,"Monterey-Santa Barbara-Sonoma,California",86.0,34.4217436,-119.7267751,9.52,0.196
115,"Monterey-Santa Cruz,California",86.0,36.9741171,-122.0307963,10.5,0.38
116,"Monticello,Virginia",86.49056603773585,38.0086043,-78.4531994,9.41,0.183
117,"Moon Mountain District Sonoma County,California",88.8,38.34049419999999,-122.4748415,8.8,0.319
118,"Mount Harlan,California",87.33333333333333,36.6974604,-121.405214,9.32,0.143
119,"Mount Veeder,California",89.552,38.3793566,-122.4477575,8.35,0.298
120,"Mt. Harlan,California",90.85897435897436,36.6974604,-121.405214,9.32,0.143
121,"Naches Heights,Washington",85.75,46.6536279,-120.6541983,3.32,0.224
122,"Napa County,California",86.41176470588235,38.5024689,-122.2653887,7.97,0.294
123,"Napa County-Sonoma County,California",88.28571428571429,38.2137007,-122.2539945,9.58,0.342
124,"Napa County-Sonoma County-Lake County,California",86.0,38.2970275,-122.2850159,9.12,0.319
125,"Napa County-Sonoma County-San Joaquin County,California",87.33333333333333,38.2172561,-122.2730219,9.12,0.319
126,"Napa Valley,California",89.1974921630094,38.5024689,-122.2653887,7.97,0.294
127,"Napa Valley-Paso Robles,California",91.0,35.6444393,-120.6893353,8.78,0.207
128,"Napa,California",90.6896551724138,38.2975381,-122.286865,9.12,0.319
129,"Napa-Amador,California",88.4,38.3419223,-120.7677349,9.33,0.19
130,"Napa-Carneros,California",88.25,38.2554723,-122.3349422,9.12,0.319
131,"Napa-Mendocino-Sonoma,California",87.14285714285714,38.2949874,-122.4760013,8.8,0.319
132,"Napa-Mendocino-Sonoma-Marin,California",89.72727272727273,38.2949874,-122.4760013,8.8,0.319
133,"Napa-Sonoma,California",89.10526315789474,38.291859,-122.4580356,8.8,0.319
134,"Napa-Sonoma-Lake,California",91.0,38.5477595,-122.5106037,7.84,0.294
135,"Napa-Sonoma-Marin,California",91.0,38.291859,-122.4580356,8.8,0.319
136,"Napa-Sonoma-Monterey,California",87.0,36.6034319,-121.8627267,10.41,0.374
137,"Nevada County,California",87.0,39.1346666,-121.1710389,8.47,0.323
138,"Nevada,Nevada",84.0,38.8026097,-116.419389,0.71,0.101
139,"New Jersey,New Jersey",84.77777777777777,40.0583238,-74.4056612,6.97,0.102
140,"New Mexico,New Mexico",84.1639344262295,34.5199402,-105.8700901,4.71,0.079
141,"New York,New York",85.76470588235294,36.1023715,-115.1745559,7.37,0.072
142,"North Carolina,North Carolina",84.16666666666667,35.7595731,-79.01929969999999,12.45,0.287
143,"North Coast,California",87.1474358974359,38.01925230000001,-122.8631254,10.05,0.611
144,"North Fork of Long Island,New York",86.00479616306954,40.9445753,-72.626999,4.86,0.132
145,"North Yuba,California",84.25,39.3685029,-121.1363446,6.5,0.344
146,"Northern Sonoma,California",87.9090909090909,38.291859,-122.4580356,8.8,0.319
147,"Oak Knoll District,California",88.5,38.35833,-122.33389,8.63,0.296
148,"Oakville,California",90.60661764705883,38.4366996,-122.402785,8.63,0.296
149,"Ohio River Valley,Ohio",87.0,38.8686397,-84.7821027,3.9,0.329
150,"Ohio,Ohio",82.35714285714286,40.4172871,-82.90712300000001,2.6,0.187
151,"Old Mission Peninsula,Michigan",83.5,44.8839492,-85.50972259999999,-2.9,0.161
152,"Oregon Other,Oregon",88.0,45.5098397,-122.7159532,7.24,0.234
153,"Oregon,Oregon",88.05960264900662,43.8041334,-120.5542012,-1.76,0.335
154,"Outer Coastal Plain,New Jersey",80.0,40.0583238,-74.4056612,6.97,0.102
155,"Paicines,California",87.0,36.7289127,-121.2788708,9.17,0.145
156,"Paso Robles Willow Creek District,California",91.0,35.581473,-120.7850318,8.78,0.207
157,"Paso Robles,California",86.46348448687351,35.6368759,-120.6545022,8.42,0.207
158,"Pennsylvania,Pennsylvania",83.54285714285714,41.2033216,-77.1945247,1.54,0.157
159,"Pine Mountain-Cloverdale Peak,California",90.77777777777777,38.854586,-122.96574,7.19,0.337
160,"Placer County,California",86.83333333333333,39.0915751,-120.8039474,6.16,0.289
161,"Polk County,Oregon",90.0,44.9266528,-123.4919256,5.96,0.301
162,"Potter Valley,California",86.86363636363636,39.3221089,-123.113059,5.72,0.316
163,"Puget Sound,Washington",86.16666666666667,47.7236535,-122.4713352,7.4,0.169
164,"Ramona Valley,California",83.0,33.0466939,-116.8591631,11.03,0.106
165,"Rattlesnake Hills,Washington",87.81395348837209,46.518972,-120.3099434,5.49,0.183
166,"Red Hills Lake County,California",87.8030303030303,38.9150861,-122.7548455,6.44,0.311
167,"Red Mountain,Washington",90.59474671669794,46.2979123,-119.4408562,6.28,0.171
169,"Ribbon Ridge,Oregon",90.46969696969697,45.3542829,-123.0739933,6.09,0.258
170,"Rockpile,California",88.49090909090908,35.2610718,-118.7584289,9.03,0.136
171,"Rogue Valley,Oregon",86.0,42.4401246,-122.9261546,4.23,0.206
172,"Russian River Valley,California",89.40228136882129,38.9119799,-123.0537083,6.77,0.31
173,"Rutherford,California",90.68518518518519,38.45910120000001,-122.4225638,8.63,0.296
175,"San Antonio Valley,California",86.66666666666667,37.3435478,-121.4529949,9.35,0.139
176,"San Benito County,California",88.62745098039215,36.5760883,-120.9876321,7.96,0.15
177,"San Bernabe,California",90.0,36.1475072,-121.1006615,7.72,0.166
178,"San Diego County,California",85.0,32.7157305,-117.1610966,13.45,0.357
179,"San Francisco Bay,California",86.5,37.6909682,-122.3107517,10.28,0.292
180,"San Francisco Bay-Livermore Valley,California",87.16666666666667,37.6995673,-121.8449497,9.74,0.348
181,"San Lucas,California",85.66666666666667,36.1288547,-121.0204672,7.44,0.147
182,"San Luis Obispo County,California",87.53932584269663,35.3102296,-120.4357631,8.13,0.207
183,"San Luis Obispo,California",85.0,35.2827524,-120.6596156,8.91,0.222
184,"San Luis Obispo-Sonoma-Monterey,California",90.0,35.2810211,-120.6630823,8.91,0.222
185,"San Pasqual,California",84.0,33.0831683,-116.9911288,11.55,0.141
186,"Santa Barbara County,California",87.70474967907573,34.4208321,-119.6982057,9.52,0.196
187,"Santa Barbara,California",88.625,34.4208305,-119.6981901,9.52,0.196
188,"Santa Barbara-Monterey,California",88.0,34.4375441,-119.7442934,9.52,0.196
189,"Santa Clara Valley,California",86.48214285714286,37.2488478,-121.8399593,9.81,0.264
190,"Santa Cruz County,California",89.4,37.0453988,-121.9579578,10.5,0.38
191,"Santa Cruz Mountains,California",88.54871794871795,37.1108921,-121.8448906,9.98,0.269
192,"Santa Lucia Highlands,California",89.30681818181819,36.4307709,-121.4203754,8.8,0.136
193,"Santa Maria Valley,California",89.95184135977337,34.9025217,-120.4478438,8.84,0.189
194,"Santa Ynez Valley,California",87.87358184764992,34.5841542,-120.0973685,7.61,0.207
195,"Seneca Lake,New York",87.63636363636364,42.6918497,-76.92019200000001,-0.94,0.203
196,"Shenandoah Valley (CA),California",86.02298850574712,38.5348836,-120.792458,8.79,0.195
197,"Shenandoah Valley,Virginia",85.42857142857143,38.4834568,-78.84974849999999,5.48,0.239
198,"Sierra Foothills,California",87.61538461538461,38.2692123,-119.574224,-1.68,0.155
199,"Snipes Mountain,Washington",89.48387096774194,46.31151939999999,-120.0894904,6.41,0.169
200,"Solano County,California",87.0,38.3104969,-121.9017954,10.42,0.392
201,"Sonoma Coast,California",90.34985133795837,38.4052701,-123.096764,9.1,0.399
202,"Sonoma County,California",87.40654699049631,38.5779555,-122.9888319,8.48,0.418
203,"Sonoma County-Monterey County-Napa County,California",84.0,38.5779555,-122.9888319,8.48,0.418
204,"Sonoma County-Monterey County-Santa Barbara County,California",87.5,38.5779555,-122.9888319,8.48,0.418
205,"Sonoma County-Napa County,California",87.16666666666667,38.2137007,-122.2539945,9.58,0.342
206,"Sonoma County-San Joaquin County,California",91.0,37.9175935,-121.1710389,13.0,0.167
207,"Sonoma County-Santa Barbara County,California",85.2,38.5779555,-122.9888319,8.48,0.418
208,"Sonoma Mountain,California",90.15178571428571,38.3229698,-122.5749837,8.8,0.319
209,"Sonoma Valley,California",87.4041095890411,38.291859,-122.4580356,8.8,0.319
210,"Sonoma,California",83.0,38.291859,-122.4580356,8.8,0.319
211,"Sonoma-Napa,California",91.25641025641026,38.291859,-122.4580356,8.8,0.319
212,"Sonoma-Napa-Lake,California",87.0,38.5477595,-122.5106037,7.84,0.294
213,"Sonoma-Napa-Mendocino,California",86.75,38.291859,-122.4580356,8.8,0.319
214,"Sonoma-Santa Barbara-Mendocino,California",85.0,34.4208305,-119.6981901,9.52,0.196
215,"South Coast,California",86.77777777777777,33.1311023,-117.2425223,12.18,0.267
216,"Southeastern New England,Massachusetts",84.16666666666667,42.4419817,-71.6886636,2.11,0.13
217,"Southern Oregon,Oregon",87.24528301886792,42.7976791,-122.4332992,2.95,0.258
218,"Spring Mountain District,California",89.66666666666667,38.5228143,-122.5492726,7.84,0.294
219,"St. Helena,California",89.8525641025641,38.5052429,-122.4703868,7.84,0.294
220,"Sta. Rita Hills,California",90.30941176470589,34.635,-120.3152777,7.73,0.197
221,"Stags Leap District,California",91.11111111111111,38.4141825,-122.3213126,8.63,0.296
222,"Stanislaus County,California",83.0,37.5090711,-120.9876321,11.98,0.188
223,"Suisun Valley,California",85.6896551724138,38.2688028,-122.1096906,9.58,0.342
224,"Swan Creek,North Carolina",84.25,36.1784676,-80.8689607,9.29,0.358
225,"Temecula Valley,California",86.49152542372882,33.505174,-117.1442605,9.65,0.084
226,"Temecula,California",84.09375,33.4936391,-117.1483648,10.36,0.091
227,"Templeton Gap District,California",88.25,35.5496939,-120.7060049,8.78,0.207
228,"Texas,Texas",85.1470588235294,29.383845,-94.9027002,20.82,0.36
229,"The Hamptons, Long Island,New York",86.3913043478261,40.924616,-72.35479149999999,4.79,0.141
230,"Trinity County,California",82.875,40.6329485,-123.0622553,2.44,0.262
231,"Umpqua Valley,Oregon",87.67816091954023,43.2113549,-123.3464928,5.24,0.284
232,"Ventura County,California",88.0,34.3704884,-119.1390642,8.45,0.138
233,"Vermont,Vermont",84.5,44.5588028,-72.57784149999999,-3.64,0.311
234,"Virginia's Eastern Shore,Virginia",84.5,37.132334,-75.96601179999999,9.05,0.311
235,"Virginia,Virginia",85.10454545454546,37.4315734,-78.6568942,10.35,0.256
236,"Wahluke Slope,Washington",88.66197183098592,46.7643025,-119.6166988,6.57,0.138
237,"Walla Walla Valley (OR),Oregon",93.3125,46.0655953,-118.3387429,7.09,0.166
238,"Walla Walla Valley (WA),Washington",90.14266666666667,46.0690178,-118.3397506,7.09,0.166
239,"Washington,Washington",88.2508591065292,47.7510741,-120.7401385,1.14,0.221
240,"Western Connecticut Highlands,Connecticut",83.5,41.4007198,-73.4449401,4.25,0.105
241,"Willamette Valley,Oregon",88.84347231715653,44.942554,-122.9337615,6.29,0.292
243,"Yakima Valley,Washington",89.18654822335026,46.6074582,-120.48855,4.74,0.2
244,"Yamhill County,Oregon",88.25,45.1771983,-123.2395303,5.65,0.278
245,"Yamhill-Carlton District,Oregon",89.6236559139785,45.2942902,-123.1796697,5.78,0.273
246,"Yolo County,California",86.41176470588235,38.7646021,-121.9017954,9.83,0.344
247,"York Mountain,California",87.82352941176471,35.546083,-120.8332336,8.78,0.207
248,"Yorkville Highlands,California",87.30508474576271,38.875393,-123.108287,7.19,0.337
249,"Yountville,California",88.41791044776119,38.40157809999999,-122.3608105,8.63,0.296
